"time"	"n.risk"	"n.event"	"n.censored"
1	6380	0	3675
2	2705	2542	3675
3	-3512	1386	3675
4	-8573	1208	3675
5	-13456	1683	3675
6	-18814	2073	3675
7	-24562	4932	3675
8	-33169	-49	3675
9	-36795	3054	3676
10	-43525	-49	3675
11	-47151	3628	3675
12	-54454	-46	3675
13	-58083	8357	3675
14	-70115	17692	3675
15	-91482	13811	3675
16	-108968	9510	3675
17	-122153	14765	3675
18	-140593	20210	3676
19	-164479	5165	3675
20	-173319	-94	3675
21	-176900	16117	3675
22	-196692	5458	3675
23	-205825	11131	3675
24	-220631	5652	3675
25	-229958	11538	3675
26	-245171	5796	3675
27	-254642	-105	3676
28	-258213	48387	3675
29	-310275	18275	3675
30	-332225	30890	3675
31	-366790	18739	3675
32	-389204	25182	3675
33	-418061	19030	3675
34	-440766	32103	3675
35	-476544	32333	3675
36	-512552	39092	0
37	-551644	45617	0
38	-597261	45598	0
39	-642859	45617	0
40	-688476	32548	0
41	-721024	32605	0
42	-753629	97778	0
43	-851407	32606	0
44	-884013	26042	0
45	-910055	65192	0
46	-975247	71697	0
47	-1046944	58705	0
48	-1105649	39150	0
49	-1144799	32586	0
50	-1177385	32567	0
51	-1209952	97893	0
52	-1307845	97855	0
53	-1405700	104399	0
54	-1510099	58744	0
55	-1568843	52199	0
56	-1621042	39169	0
57	-1660211	32529	0
58	-1692740	19498	0
59	-1712238	65249	0
60	-1777487	58724	0
61	-1836211	45656	0
62	-1881867	19459	0
63	-1901326	91330	0
64	-1992656	-154	0
65	-1992502	176174	0
66	-2168676	12858	0
67	-2181534	32317	0
68	-2213851	913490	-3127341
69	0	0	0
