"","year_issue","year_expire","ethnicity","S_expire","pop","year_pop","mean_pltbi","low_pltbi","upp_pltbi","n_ltbi","n_ltbi_low","n_ltbi_upp","time","S_tb","p_tb","n_tb","n_tb_low","n_tb_upp"
"1",2004,2004,"Bangladeshi",0.97,7293,7074.21,0.302518821388457,0.188178734084316,0.421247579351274,2140.08167145443,1331.21588244661,2979.99383832258,1,0.984523074592267,0.0154769254077327,33.12,20.6,46.12
"2",2004,2005,"Bangladeshi",0.77,7293,5615.61,0.302518821388457,0.188178734084316,0.421247579351274,1698.82771857723,1056.73838091123,2365.56211908081,2,0.977949206546274,0.00657386804599314,11.17,6.95,15.55
"3",2005,2005,"Bangladeshi",0.96,11831,11357.76,0.302518821388457,0.188178734084316,0.421247579351274,3435.93616881296,2137.28889883348,4784.42890685272,1,0.984523074592267,0.0154769254077327,53.18,33.08,74.05
"4",2004,2006,"Bangladeshi",0.63,7293,4594.59,0.302518821388457,0.188178734084316,0.421247579351274,1389.94995156319,864.604129836458,1935.45991561157,3,0.975117860611236,0.00283134593503798,3.94,2.45,5.48
"5",2005,2006,"Bangladeshi",0.81,11831,9583.11,0.302518821388457,0.188178734084316,0.421247579351274,2899.07114243593,1803.33750839075,4036.86189015699,2,0.977949206546274,0.00657386804599314,19.06,11.85,26.54
"6",2006,2006,"Bangladeshi",0.97,11134,10799.98,0.302518821388457,0.188178734084316,0.421247579351274,3267.19722061891,2032.32656453593,4549.46543204217,1,0.984523074592267,0.0154769254077327,50.57,31.45,70.41
"7",2004,2007,"Bangladeshi",0.58,7293,4229.94,0.302518821388457,0.188178734084316,0.421247579351274,1279.63646334389,795.984754452612,1781.85198580113,4,0.973885908895243,0.00123195171599288,1.58,0.98,2.2
"8",2005,2007,"Bangladeshi",0.68,11831,8045.08,0.302518821388457,0.188178734084316,0.421247579351274,2433.78811957585,1513.91297000705,3388.97047568735,3,0.975117860611236,0.00283134593503798,6.89,4.29,9.6
"9",2006,2007,"Bangladeshi",0.88,11134,9797.92,0.302518821388457,0.188178734084316,0.421247579351274,2964.05521045839,1843.7601822594,4127.35008267743,2,0.977949206546274,0.00657386804599314,19.49,12.12,27.13
"10",2007,2007,"Bangladeshi",0.97,8964,8695.08,0.302518821388457,0.188178734084316,0.421247579351274,2630.42535347834,1636.22914716186,3662.78140226567,1,0.984523074592267,0.0154769254077327,40.71,25.32,56.69
"11",2004,2008,"Bangladeshi",0.56,7293,4084.08,0.302518821388457,0.188178734084316,0.421247579351274,1235.51106805617,768.537004299074,1720.40881387695,5,0.973345182244593,0.000540726650649859,0.67,0.42,0.93
