"","rfs","inc","eth","age","bcg","yse","mean","sd"
"1","Contact","<40","White","(15,35]","No","(0,5]",0.235,0.027
"2","Migrant","<40","White","(15,35]","No","(0,5]",0.171,0.031
"3","Contact","41-100","White","(15,35]","No","(0,5]",0.322,0.031
"4","Migrant","41-100","White","(15,35]","No","(0,5]",0.241,0.035
"5","Contact","100-300","White","(15,35]","No","(0,5]",0.451,0.028
"6","Migrant","100-300","White","(15,35]","No","(0,5]",0.354,0.04
"7","Contact",">300","White","(15,35]","No","(0,5]",0.39,0.041
"8","Migrant",">300","White","(15,35]","No","(0,5]",0.3,0.046
"9","Contact","(Missing)","White","(15,35]","No","(0,5]",0.566,0.041
"10","Migrant","(Missing)","White","(15,35]","No","(0,5]",0.465,0.056
"11","Contact","<40","Black African or Caribbean","(15,35]","No","(0,5]",0.289,0.034
"12","Migrant","<40","Black African or Caribbean","(15,35]","No","(0,5]",0.214,0.035
"13","Contact","41-100","Black African or Caribbean","(15,35]","No","(0,5]",0.385,0.04
"14","Migrant","41-100","Black African or Caribbean","(15,35]","No","(0,5]",0.295,0.041
"15","Contact","100-300","Black African or Caribbean","(15,35]","No","(0,5]",0.519,0.033
"16","Migrant","100-300","Black African or Caribbean","(15,35]","No","(0,5]",0.419,0.041
"17","Contact",">300","Black African or Caribbean","(15,35]","No","(0,5]",0.457,0.043
"18","Migrant",">300","Black African or Caribbean","(15,35]","No","(0,5]",0.361,0.047
"19","Contact","(Missing)","Black African or Caribbean","(15,35]","No","(0,5]",0.631,0.044
"20","Migrant","(Missing)","Black African or Caribbean","(15,35]","No","(0,5]",0.534,0.057
"21","Contact","<40","South Asian","(15,35]","No","(0,5]",0.214,0.025
"22","Migrant","<40","South Asian","(15,35]","No","(0,5]",0.154,0.024
"23","Contact","41-100","South Asian","(15,35]","No","(0,5]",0.296,0.033
"24","Migrant","41-100","South Asian","(15,35]","No","(0,5]",0.22,0.029
"25","Contact","100-300","South Asian","(15,35]","No","(0,5]",0.421,0.023
"26","Migrant","100-300","South Asian","(15,35]","No","(0,5]",0.326,0.027
"27","Contact",">300","South Asian","(15,35]","No","(0,5]",0.362,0.04
"28","Migrant",">300","South Asian","(15,35]","No","(0,5]",0.275,0.038
"29","Contact","(Missing)","South Asian","(15,35]","No","(0,5]",0.536,0.042
"30","Migrant","(Missing)","South Asian","(15,35]","No","(0,5]",0.435,0.05
"31","Contact","<40","Other","(15,35]","No","(0,5]",0.249,0.029
"32","Migrant","<40","Other","(15,35]","No","(0,5]",0.182,0.03
"33","Contact","41-100","Other","(15,35]","No","(0,5]",0.339,0.034
"34","Migrant","41-100","Other","(15,35]","No","(0,5]",0.255,0.035
"35","Contact","100-300","Other","(15,35]","No","(0,5]",0.469,0.031
"36","Migrant","100-300","Other","(15,35]","No","(0,5]",0.372,0.039
"37","Contact",">300","Other","(15,35]","No","(0,5]",0.408,0.042
"38","Migrant",">300","Other","(15,35]","No","(0,5]",0.316,0.045
"39","Contact","(Missing)","Other","(15,35]","No","(0,5]",0.584,0.044
"40","Migrant","(Missing)","Other","(15,35]","No","(0,5]",0.484,0.056
"41","Contact","<40","White","(35,55]","No","(0,5]",0.303,0.035
"42","Migrant","<40","White","(35,55]","No","(0,5]",0.226,0.038
"43","Contact","41-100","White","(35,55]","No","(0,5]",0.401,0.038
"44","Migrant","41-100","White","(35,55]","No","(0,5]",0.31,0.042
"45","Contact","100-300","White","(35,55]","No","(0,5]",0.536,0.033
"46","Migrant","100-300","White","(35,55]","No","(0,5]",0.436,0.044
"47","Contact",">300","White","(35,55]","No","(0,5]",0.474,0.047
"48","Migrant",">300","White","(35,55]","No","(0,5]",0.377,0.053
"49","Contact","(Missing)","White","(35,55]","No","(0,5]",0.647,0.041
"50","Migrant","(Missing)","White","(35,55]","No","(0,5]",0.55,0.057
"51","Contact","<40","Black African or Caribbean","(35,55]","No","(0,5]",0.364,0.044
"52","Migrant","<40","Black African or Caribbean","(35,55]","No","(0,5]",0.277,0.044
"53","Contact","41-100","Black African or Caribbean","(35,55]","No","(0,5]",0.469,0.048
"54","Migrant","41-100","Black African or Caribbean","(35,55]","No","(0,5]",0.371,0.049
"55","Contact","100-300","Black African or Caribbean","(35,55]","No","(0,5]",0.603,0.038
"56","Migrant","100-300","Black African or Caribbean","(35,55]","No","(0,5]",0.504,0.046
"57","Contact",">300","Black African or Caribbean","(35,55]","No","(0,5]",0.543,0.049
"58","Migrant",">300","Black African or Caribbean","(35,55]","No","(0,5]",0.443,0.053
"59","Contact","(Missing)","Black African or Caribbean","(35,55]","No","(0,5]",0.706,0.044
"60","Migrant","(Missing)","Black African or Caribbean","(35,55]","No","(0,5]",0.616,0.058
"61","Contact","<40","South Asian","(35,55]","No","(0,5]",0.278,0.035
"62","Migrant","<40","South Asian","(35,55]","No","(0,5]",0.205,0.032
"63","Contact","41-100","South Asian","(35,55]","No","(0,5]",0.373,0.043
"64","Migrant","41-100","South Asian","(35,55]","No","(0,5]",0.284,0.038
"65","Contact","100-300","South Asian","(35,55]","No","(0,5]",0.506,0.033
"66","Migrant","100-300","South Asian","(35,55]","No","(0,5]",0.406,0.035
"67","Contact",">300","South Asian","(35,55]","No","(0,5]",0.444,0.048
"68","Migrant",">300","South Asian","(35,55]","No","(0,5]",0.348,0.046
"69","Contact","(Missing)","South Asian","(35,55]","No","(0,5]",0.619,0.046
"70","Migrant","(Missing)","South Asian","(35,55]","No","(0,5]",0.52,0.054
"71","Contact","<40","Other","(35,55]","No","(0,5]",0.319,0.038
"72","Migrant","<40","Other","(35,55]","No","(0,5]",0.239,0.039
"73","Contact","41-100","Other","(35,55]","No","(0,5]",0.42,0.042
"74","Migrant","41-100","Other","(35,55]","No","(0,5]",0.326,0.043
"75","Contact","100-300","Other","(35,55]","No","(0,5]",0.555,0.037
"76","Migrant","100-300","Other","(35,55]","No","(0,5]",0.455,0.044
"77","Contact",">300","Other","(35,55]","No","(0,5]",0.493,0.049
"78","Migrant",">300","Other","(35,55]","No","(0,5]",0.394,0.052
"79","Contact","(Missing)","Other","(35,55]","No","(0,5]",0.664,0.045
"80","Migrant","(Missing)","Other","(35,55]","No","(0,5]",0.569,0.058
"81","Contact","<40","White","(55,100]","No","(0,5]",0.293,0.035
"82","Migrant","<40","White","(55,100]","No","(0,5]",0.217,0.037
"83","Contact","41-100","White","(55,100]","No","(0,5]",0.39,0.041
"84","Migrant","41-100","White","(55,100]","No","(0,5]",0.299,0.042
"85","Contact","100-300","White","(55,100]","No","(0,5]",0.524,0.036
"86","Migrant","100-300","White","(55,100]","No","(0,5]",0.424,0.045
"87","Contact",">300","White","(55,100]","No","(0,5]",0.462,0.049
"88","Migrant",">300","White","(55,100]","No","(0,5]",0.365,0.053
"89","Contact","(Missing)","White","(55,100]","No","(0,5]",0.636,0.043
"90","Migrant","(Missing)","White","(55,100]","No","(0,5]",0.538,0.057
"91","Contact","<40","Black African or Caribbean","(55,100]","No","(0,5]",0.353,0.045
"92","Migrant","<40","Black African or Caribbean","(55,100]","No","(0,5]",0.268,0.043
"93","Contact","41-100","Black African or Caribbean","(55,100]","No","(0,5]",0.457,0.051
"94","Migrant","41-100","Black African or Caribbean","(55,100]","No","(0,5]",0.36,0.049
"95","Contact","100-300","Black African or Caribbean","(55,100]","No","(0,5]",0.592,0.042
"96","Migrant","100-300","Black African or Caribbean","(55,100]","No","(0,5]",0.492,0.048
"97","Contact",">300","Black African or Caribbean","(55,100]","No","(0,5]",0.53,0.051
"98","Migrant",">300","Black African or Caribbean","(55,100]","No","(0,5]",0.431,0.054
"99","Contact","(Missing)","Black African or Caribbean","(55,100]","No","(0,5]",0.696,0.046
"100","Migrant","(Missing)","Black African or Caribbean","(55,100]","No","(0,5]",0.605,0.058
"101","Contact","<40","South Asian","(55,100]","No","(0,5]",0.268,0.035
"102","Migrant","<40","South Asian","(55,100]","No","(0,5]",0.197,0.031
"103","Contact","41-100","South Asian","(55,100]","No","(0,5]",0.361,0.044
"104","Migrant","41-100","South Asian","(55,100]","No","(0,5]",0.274,0.038
"105","Contact","100-300","South Asian","(55,100]","No","(0,5]",0.494,0.035
"106","Migrant","100-300","South Asian","(55,100]","No","(0,5]",0.394,0.035
"107","Contact",">300","South Asian","(55,100]","No","(0,5]",0.432,0.05
"108","Migrant",">300","South Asian","(55,100]","No","(0,5]",0.338,0.046
"109","Contact","(Missing)","South Asian","(55,100]","No","(0,5]",0.607,0.047
"110","Migrant","(Missing)","South Asian","(55,100]","No","(0,5]",0.508,0.054
"111","Contact","<40","Other","(55,100]","No","(0,5]",0.309,0.038
"112","Migrant","<40","Other","(55,100]","No","(0,5]",0.23,0.037
"113","Contact","41-100","Other","(55,100]","No","(0,5]",0.408,0.044
"114","Migrant","41-100","Other","(55,100]","No","(0,5]",0.315,0.042
"115","Contact","100-300","Other","(55,100]","No","(0,5]",0.543,0.038
"116","Migrant","100-300","Other","(55,100]","No","(0,5]",0.443,0.044
"117","Contact",">300","Other","(55,100]","No","(0,5]",0.481,0.05
"118","Migrant",">300","Other","(55,100]","No","(0,5]",0.383,0.052
"119","Contact","(Missing)","Other","(55,100]","No","(0,5]",0.653,0.045
"120","Migrant","(Missing)","Other","(55,100]","No","(0,5]",0.557,0.057
"121","Contact","<40","White","(15,35]","Yes","(0,5]",0.173,0.022
"122","Migrant","<40","White","(15,35]","Yes","(0,5]",0.123,0.026
"123","Contact","41-100","White","(15,35]","Yes","(0,5]",0.244,0.026
"124","Migrant","41-100","White","(15,35]","Yes","(0,5]",0.178,0.031
"125","Contact","100-300","White","(15,35]","Yes","(0,5]",0.357,0.025
"126","Migrant","100-300","White","(15,35]","Yes","(0,5]",0.271,0.039
"127","Contact",">300","White","(15,35]","Yes","(0,5]",0.303,0.037
"128","Migrant",">300","White","(15,35]","Yes","(0,5]",0.226,0.042
"129","Contact","(Missing)","White","(15,35]","Yes","(0,5]",0.469,0.038
"130","Migrant","(Missing)","White","(15,35]","Yes","(0,5]",0.372,0.054
"131","Contact","<40","Black African or Caribbean","(15,35]","Yes","(0,5]",0.216,0.028
"132","Migrant","<40","Black African or Caribbean","(15,35]","Yes","(0,5]",0.156,0.03
"133","Contact","41-100","Black African or Caribbean","(15,35]","Yes","(0,5]",0.298,0.034
"134","Migrant","41-100","Black African or Caribbean","(15,35]","Yes","(0,5]",0.222,0.036
"135","Contact","100-300","Black African or Caribbean","(15,35]","Yes","(0,5]",0.423,0.031
"136","Migrant","100-300","Black African or Caribbean","(15,35]","Yes","(0,5]",0.329,0.041
"137","Contact",">300","Black African or Caribbean","(15,35]","Yes","(0,5]",0.364,0.039
"138","Migrant",">300","Black African or Caribbean","(15,35]","Yes","(0,5]",0.277,0.043
"139","Contact","(Missing)","Black African or Caribbean","(15,35]","Yes","(0,5]",0.538,0.043
"140","Migrant","(Missing)","Black African or Caribbean","(15,35]","Yes","(0,5]",0.438,0.057
"141","Contact","<40","South Asian","(15,35]","Yes","(0,5]",0.156,0.019
"142","Migrant","<40","South Asian","(15,35]","Yes","(0,5]",0.11,0.02
"143","Contact","41-100","South Asian","(15,35]","Yes","(0,5]",0.222,0.026
"144","Migrant","41-100","South Asian","(15,35]","Yes","(0,5]",0.16,0.024
"145","Contact","100-300","South Asian","(15,35]","Yes","(0,5]",0.33,0.018
"146","Migrant","100-300","South Asian","(15,35]","Yes","(0,5]",0.247,0.026
"147","Contact",">300","South Asian","(15,35]","Yes","(0,5]",0.278,0.033
"148","Migrant",">300","South Asian","(15,35]","Yes","(0,5]",0.205,0.033
"149","Contact","(Missing)","South Asian","(15,35]","Yes","(0,5]",0.439,0.037
"150","Migrant","(Missing)","South Asian","(15,35]","Yes","(0,5]",0.344,0.045
"151","Contact","<40","Other","(15,35]","Yes","(0,5]",0.184,0.023
"152","Migrant","<40","Other","(15,35]","Yes","(0,5]",0.132,0.026
"153","Contact","41-100","Other","(15,35]","Yes","(0,5]",0.258,0.028
"154","Migrant","41-100","Other","(15,35]","Yes","(0,5]",0.189,0.03
"155","Contact","100-300","Other","(15,35]","Yes","(0,5]",0.375,0.027
"156","Migrant","100-300","Other","(15,35]","Yes","(0,5]",0.287,0.038
"157","Contact",">300","Other","(15,35]","Yes","(0,5]",0.319,0.037
"158","Migrant",">300","Other","(15,35]","Yes","(0,5]",0.239,0.04
"159","Contact","(Missing)","Other","(15,35]","Yes","(0,5]",0.488,0.041
"160","Migrant","(Missing)","Other","(15,35]","Yes","(0,5]",0.39,0.054
"161","Contact","<40","White","(35,55]","Yes","(0,5]",0.228,0.029
"162","Migrant","<40","White","(35,55]","Yes","(0,5]",0.166,0.033
"163","Contact","41-100","White","(35,55]","Yes","(0,5]",0.312,0.032
"164","Migrant","41-100","White","(35,55]","Yes","(0,5]",0.234,0.037
"165","Contact","100-300","White","(35,55]","Yes","(0,5]",0.44,0.03
"166","Migrant","100-300","White","(35,55]","Yes","(0,5]",0.344,0.044
"167","Contact",">300","White","(35,55]","Yes","(0,5]",0.38,0.043
"168","Migrant",">300","White","(35,55]","Yes","(0,5]",0.291,0.049
"169","Contact","(Missing)","White","(35,55]","Yes","(0,5]",0.555,0.04
"170","Migrant","(Missing)","White","(35,55]","Yes","(0,5]",0.454,0.057
"171","Contact","<40","Black African or Caribbean","(35,55]","Yes","(0,5]",0.28,0.037
"172","Migrant","<40","Black African or Caribbean","(35,55]","Yes","(0,5]",0.207,0.038
"173","Contact","41-100","Black African or Caribbean","(35,55]","Yes","(0,5]",0.375,0.043
"174","Migrant","41-100","Black African or Caribbean","(35,55]","Yes","(0,5]",0.286,0.044
"175","Contact","100-300","Black African or Caribbean","(35,55]","Yes","(0,5]",0.508,0.037
"176","Migrant","100-300","Black African or Caribbean","(35,55]","Yes","(0,5]",0.409,0.046
"177","Contact",">300","Black African or Caribbean","(35,55]","Yes","(0,5]",0.446,0.046
"178","Migrant",">300","Black African or Caribbean","(35,55]","Yes","(0,5]",0.351,0.051
"179","Contact","(Missing)","Black African or Caribbean","(35,55]","Yes","(0,5]",0.621,0.045
"180","Migrant","(Missing)","Black African or Caribbean","(35,55]","Yes","(0,5]",0.522,0.059
"181","Contact","<40","South Asian","(35,55]","Yes","(0,5]",0.207,0.027
"182","Migrant","<40","South Asian","(35,55]","Yes","(0,5]",0.149,0.026
"183","Contact","41-100","South Asian","(35,55]","Yes","(0,5]",0.287,0.035
"184","Migrant","41-100","South Asian","(35,55]","Yes","(0,5]",0.212,0.032
"185","Contact","100-300","South Asian","(35,55]","Yes","(0,5]",0.41,0.028
"186","Migrant","100-300","South Asian","(35,55]","Yes","(0,5]",0.317,0.032
"187","Contact",">300","South Asian","(35,55]","Yes","(0,5]",0.352,0.042
"188","Migrant",">300","South Asian","(35,55]","Yes","(0,5]",0.267,0.041
"189","Contact","(Missing)","South Asian","(35,55]","Yes","(0,5]",0.525,0.043
"190","Migrant","(Missing)","South Asian","(35,55]","Yes","(0,5]",0.425,0.051
"191","Contact","<40","Other","(35,55]","Yes","(0,5]",0.241,0.031
"192","Migrant","<40","Other","(35,55]","Yes","(0,5]",0.176,0.033
"193","Contact","41-100","Other","(35,55]","Yes","(0,5]",0.329,0.036
"194","Migrant","41-100","Other","(35,55]","Yes","(0,5]",0.247,0.037
"195","Contact","100-300","Other","(35,55]","Yes","(0,5]",0.458,0.034
"196","Migrant","100-300","Other","(35,55]","Yes","(0,5]",0.361,0.043
"197","Contact",">300","Other","(35,55]","Yes","(0,5]",0.398,0.044
"198","Migrant",">300","Other","(35,55]","Yes","(0,5]",0.307,0.048
"199","Contact","(Missing)","Other","(35,55]","Yes","(0,5]",0.573,0.044
