"time"	"n.risk"	"n.event"	"n.censored"
0	6380	0	6
0.06012808349146	6374	6	2
0.08403700189753	6366	0	1
0.09588472485769	6365	0	1
0.1078747628083	6364	7	2
0.1197580645161	6355	0	2
0.1435958254269	6353	6	0
0.1438092979127	6347	0	1
0.1553368121442	6346	0	0
0.1555147058824	6346	0	1
0.1671489563567	6345	6	1
0.1672912713472	6338	0	2
0.1912001897533	6336	0	5
0.239444971537	6331	0	4
0.2755929791271	6327	0	2
0.2996442125237	6325	7	4
0.3358633776091	6314	0	5
0.3841437381404	6309	0	1
0.3959914611006	6308	0	0
0.3962049335863	6308	0	3
0.4320683111954	6305	6	2
0.4440583491461	6297	0	2
0.4680740037951	6295	0	1
0.4800640417457	6294	0	3
0.5041508538899	6291	0	1
0.5158562618596	6290	6	0
0.5160697343454	6284	0	10
0.6125237191651	6274	0	3
0.64860056926	6271	7	7
0.7089065464896	6257	0	3
0.745125711575	6254	0	5
0.793334914611	6249	0	4
0.8294473434535	6245	6	6
0.889860056926	6233	0	6
0.9502371916509	6227	0	7
1.022711100569	6220	0	45
1.107281783681	6175	0	46
1.191816888046	6129	6	46
1.276387571157	6077	0	32
1.336729127135	6045	0	33
1.397177419355	6012	0	98
1.57845113852	5914	0	32
1.63889943074	5882	0	27
1.687179791271	5855	6	65
1.808040796964	5784	0	72
1.940962998102	5712	0	58
2.049798387097	5654	0	128
2.122379032258	5526	0	107
2.182791745731	5419	0	107
2.243168880455	5312	0	321
2.424656072106	4991	0	322
2.606072106262	4669	0	342
2.799620493359	4327	0	193
2.908527039848	4134	0	171
3.005301233397	3963	0	180
3.077917457306	3783	0	149
3.138223434535	3634	0	90
3.174371442125	3544	4	300
3.295339184061	3240	0	271
3.404210151803	2969	0	210
3.48885199241	2759	0	89
3.524928842505	2670	0	420
3.693963472486	2250	2	1
3.694248102467	2247	0	809
4.020576375712	1438	0	18
4.044414136622	1420	0	48
4.104328747628	1372	1	687
4.975296489564	684	0	0
5.797877134725	36	0	0
